Date,Subject,Location,Cabinet,"DG name/Portfolio","Attending from Commission","Other lobbyists"
2022-04-06,"Implications of the release of oil stocks by Member States under the IEA collective process","Phone call","Cabinet of Commissioner Kadri Simson",Energy,"Stefano Grassi (Cabinet member)",
2022-04-20,"US-EU Task Force Convening: Security of Supply.

Sempra, Venture Global, Glenfarne, Freeport and Excelerate also participated.",videoconference,,Energy,"Ditte Juul Jørgensen (Director-General)","Dow Europe GmbH,Cheniere Energy, Inc."
2022-04-20,"US-EU Task Force Convening: Security of Supply.

Sempra, Venture Global, Glenfarne and Freeport also participated.",videoconference,,Energy,"Ditte Juul Jørgensen (Director-General)","Cheniere Energy, Inc.,Excelerate Energy,Dow Europe GmbH"
2022-06-27,"Investments in clean energy transition and new gas and hydrogen projects, state of play on global energy markets. RePowerEU Plan including clean energy acceleration, energy savings and diversification.",Brussels,"Cabinet of Executive Vice-President Frans Timmermans","European Green Deal","Frans Timmermans (Executive Vice-President)",
2022-09-28,"Phone call - Impact of the solidarity contribution on the fossil fuel industry",Brussels,,"Taxation and Customs Union","Gerassimos Thomas (Director-General)",
2022-10-13,"Reducing dependence on Russian gas, exploitation of the resources in the EEZ of Cyprus, energy security strategy of the EU incl. EU platform for the common purchase of gas, LNG and hydrogen.","Nicosia, Cyprus","Cabinet of Commissioner Kadri Simson",Energy,"Helena Hinto (Cabinet member),Kadri Simson (Commissioner)","Chevron Belgium BV,Eni S.p.A.,TotalEnergies SE,Chevron Belgium BV,Eni S.p.A.,TotalEnergies SE"
2023-02-16,"Critical Raw Materials package",Brussels,"Cabinet of Executive Vice-President Valdis Dombrovskis","An Economy that Works for People","Valdis Dombrovskis (Executive Vice-President)","Manufacture Française des Pneumatiques Michelin,Confederation of Norwegian Enterprise,Stellantis,Stora Enso Oyj,Mercedes-Benz Group AG,Vereniging VNO-NCW,Viohalco SA,BUSINESSEUROPE,Associação Portuguesa das Empresas do Sector Eléctrico e Electrónico,Confederazione Generale dell'Industria Italiana,Croatian Employers' Association,Slovenska bankova asociacia,Ibec,The Malta Chamber of Commerce, Enterprise and Industry,Eni S.p.A.,Caterpillar Distribution Services Europe bv,TUSIAD-Turkish Industry&Business Association,Lithuanian Confederation of Industrialists,VERBOND VAN BELGISCHE ONDERNEMINGEN / FEDERATION DES ENTREPRISES DE BELGIQUE,Norsk Hydro,TURKISH EMPLOYERS' ASSOCIATION OF METAL INDUSTRIES,Confederation of Swedish Enterprise,TotalEnergies SE,SEV - Hellenic Federation of Enterprises,Bundesverband der Deutschen Industrie e.V.,Mouvement des Entreprises de France,EESTI TÖÖANDJATE KESKLIIT MTÜ,ENGIE,OMV Aktiengesellschaft,SAFRAN,BASF SE,ArcelorMittal"
2023-04-25,"Energy, environmental and digital challenges of our time",Brussels,"Cabinet of Executive Vice-President Frans Timmermans","European Green Deal","Diederik Samsom (Cabinet member)","Air Products,ABB Ltd,Tree Energy Solutions GmbH,International Association of Oil & Gas Producers Europe,TERNA ENERGY SOCIETE ANONYME,EUROGAS aisbl,Hydrogen Europe,Gas Infrastructure Europe,Equinor ASA,IVECO GROUP N.V.,Eni S.p.A.,European Biogas Association,Koninklijke Vopak N.V."
2023-06-26,"Overview of chemicals industry situation, transition pathway for chemicals industry, REACH revision",Brussels,"Cabinet of Commissioner Thierry Breton","Internal Market","Joan Canton (Cabinet member),Thierry Breton (Commissioner)","DuPont de Nemours International SARL,ARKEMA,LyondellBasell Industries N.V.,LyondellBasell Industries N.V.,BASF SE,BASF SE,Dow Europe GmbH,European Chemical Industry Council,Dow Europe GmbH,DuPont de Nemours International SARL,European Chemical Industry Council,ARKEMA"
2023-09-19,"European Work Council",BERL,"Cabinet of Commissioner Nicolas Schmit","Jobs and Social Rights","Ana Carla  Pereira (Cabinet member)",
2023-09-20,"Clean Tech and low-carbon fuels",Brussels,"Cabinet of Vice-President Maroš Šefčovič","Interinstitutional Relations and Foresight","Adam Romanowski (Cabinet member)",
2023-10-19,"to reduce greenhouse gas emissions and address climate change",Brussels,,"Climate Action","Kurt Vandenberghe (Director-General)",
