Date,Subject,Location,Cabinet,"DG name/Portfolio","Attending from Commission","Other lobbyists"
2016-07-14,"Transatlantic energy developments","Brussels, Belgium",,Energy,"Dominique Ristori (Director-General)","Dow Europe GmbH,Chamber of Commerce of the United States of America,ConocoPhillips"
2016-09-26,"Energy policy","Brussels, Belgium",,Energy,"Dominique Ristori (Director-General)","Shell Companies"
2017-01-18,"EU-US relations",Davos,"Cabinet of Vice-President Maroš Šefčovič","Energy Union","Bernd Biervert (Cabinet member),Maroš Šefčovič (Vice-President)",
2019-02-27,"discussion on Sustainable Development and corporate responsibility",Brussels,"Cabinet of First Vice-President Frans Timmermans","Better Regulation, Interinstitutional Relations, the Rule of Law and the Charter of Fundamental Rights","Helena Braun (Cabinet member)",
2022-10-13,"Reducing dependence on Russian gas, exploitation of the resources in the EEZ of Cyprus, energy security strategy of the EU incl. EU platform for the common purchase of gas, LNG and hydrogen.","Nicosia, Cyprus","Cabinet of Commissioner Kadri Simson",Energy,"Helena Hinto (Cabinet member),Kadri Simson (Commissioner)","Eni S.p.A.,ExxonMobil Petroleum & Chemical,TotalEnergies SE,ExxonMobil Petroleum & Chemical,Eni S.p.A.,TotalEnergies SE"
